"industry","funds_per_industry"
"E-Commerce",10504074108.54
"Transportation",6458520624
"FinTech",5238394865
"Technology",2766005911
"Health and Wellness",1194083000
"Hospitality",1125826000
"Financial Services",1122603000
"Logistics",982923000
"Ed-Tech",871681065
"On-demand food delivery platform",825285000
"Artificial Intelligence platform",464255000
"Insurance",430000000
"Travel & Tourism",379515375
"Automotive",357572000
"Healthcare",315379000
"Media & Entertainment",263888000
"Consumer Services",254573089
"Food & Beverages",242863195
"Music Streaming",215000000
"Venture Capital & Private Equity",171000000
"Online Classifieds",150000000
"Gaming",126500000
"Education",113097000
"Real Estate",108495000
"Mobile Advertising platform",100000000
"Fantasy sports",100000000
"Biotechnology",84000000
"Beauty & Lifestyle platform",80793495
"Private Label Apparel sales",80300000
"Internet",79965000
"Big Data Analytics Platform",76000000
"Business and IT consulting",63000000
"Online & Mobile classified listings",60000000
"Rental",54050000
"Online and TV Shopping Marketplace",52000000
"Broadcast Media",50526000
"Aerospace",50000000
"Hyperlocal Deals Marketplace",50000000
"Retail",46985434
"Cloud software solutions",45000000
"Hyper-Local Online/Mobile Grocery",45000000
"Online Lingerie Marketplace",40000000
"Off-grid Solar Power",40000000
"Small Business Financing (NBFC)",40000000
"Advertising & Marketing",37478000
"Hyperlocal Grocery Delivery",36000000
"Digital Media Platform",33819700
"Social News",31390000
"Venture Capital",31000000
"Fine Dining Restaurant Chain",30000000
"Automated Storage & Warehousing Solution",30000000
"Ethnic Beverages manufacturer",30000000
"Online Classifieds & Listings",28000000
"Education Content Provider",27000000
"Home services marketplace",26500000
"Energy",26000000
"Mobile based PoS solution",25000000
"Financial Inclusion platform",25000000
"Payments Solution platform",25000000
"Wedding Planning Platform",20410000
"Telecommunication",20275000
"News",20100000
"Online Furniture Marketplace",20000000
"engineering services company",20000000
"Hyperlocal Shopping App",20000000
"Premium Loyalty Rewards Point Management",19350000
"Internet of Things platform",18311000
"Defense and Space",17000000
"Efficient Energy Management platform",16600000
"Online Jewellery Store",16200000
"Business Messaging App",16000000
"Renting",16000000
"Ticketing",16000000
"Banking Analytics Platform",15000000
"Data Center Software platform",15000000
"Fashion jewelry and accessories e-tailer",15000000
"Premium dining Lounges & restaurants",15000000
"mobile-only tasks marketplace",15000000
"Travel information portal",15000000
"IT infrastructure & Data Center services",13500000
"Online Grocery Store",12120000
"Mobile App Development",12000000
"Daily micro-delivery service",11800000
"Hyperlocal services marketplace",10000000
"Food Subscription platform",10000000
"Autorickshaw Aggregator & Booking platform",10000000
"Sports Management & Physical Education Business",10000000
"Casual Dining restaurant Chain",10000000
"Grey collar Job Board",10000000
"Online comparison engine",10000000
"Trucking Logistic Operations",10000000
"Startup Funding Marketplace",10000000
"User Engagment & Analytics platform",9600000
"Industrial Tools Marketplace",9200000
"Hyperlocal Delivery Services",9000000
