"location","no_of_startups","totalfunds_per_city"
"Bengaluru",596,18543408863
"Mumbai",407,4958575015
"New Delhi",271,3370871515
"Gurgaon",201,3012181134.54
"Pune",76,711582000
"Chennai",75,718767000
"Hyderabad",74,402676230
"Noida",57,1283164000
"Gurugram",44,868932523
"Ahmedabad",29,119980811
"Jaipur",14,152735000
"Kolkata",10,15983000
"Goa",7,4980000
"Chandigarh",6,47100000
"Vadodara",6,6774000
"Indore",5,4672000
"Coimbatore",4,3957600
"Bhopal",3,2330665
"Faridabad",2,252000000
"Gwalior",2,900000
"Kanpur",2,220000
"Kormangala",2,284000000
"Amritsar",1,300000
"Andheri",1,5750000
"Bhubaneswar",1,23000000
"Chembur",1,319605
"Gaya",1,6000000
"Haryana",1,15500000
"Jodhpur",1,160000
"Karnataka",1,3584000
"Kerala",1,27000
"Lucknow",1,1000000
"Nagpur",1,143000
"Panaji",1,825000
"Rourkela",1,2500000
"Surat",1,36230000
"Telangana",1,200000000
"Tharamani",1,38080000
"Trivandrum",1,100000
"Udaipur",1,500000
"Udupi",1,12000000
"Varanasi",1,52000
