<<<<<<< HEAD
"startup_name","funds_per_startup"
"Flipkart",4759700000
"Rapido",3900751230
"Paytm",3148950000
"Ola Cabs",2054200000
"Oyo",997000000
"Udaan",870000000
"Snapdeal",700000000
"True North Co",600000000
"BYJU'S",525000000
"BigBasket",512000000
"GOQii",463400000
"Zomato",435000000
"Policybazaar",344700000
"Automation Anywhere",300000000
"Lenskart.com",296650000
"Vogo Automotive Pvt. Ltd.",286584000
"Swiggy",270500000
"Edelweiss Financial Services",270000000
"BlackBuck",268380000
"Grofers",262000000
"CarDekho",250000000
"Zilingo",235900000
"Quikr",230000000
"Digital Mall Asia",220000000
"Delhivery",215000000
"Nykaa",214000000
"Foodpanda",210000000
"ShopClues",207700000
"Epiq Capital",200000000
"Furtados School of Music",200000000
"Paytm Marketplace",200000000
"MakeMyTrip",190000000
"Meesho",189600000
"Hike Messenger",175000000
"Practo",175000000
"Curefit",173200000
"Pepperfry",169700000
"Ecom Express",167000000
"Lendingkart",156900000
"Freshworks",150000000
"CarTrade",145000000
"Alteria Capital",140000000
"FreshVnF",140000000
"Rivigo",140000000
"FreeCharge",137000000
"Clumio",135000000
"MobiKwik",121600000
"Pine Labs",120080000
"Gaana.com",115000000
"UrbanClap",110700000
"Tala",110000000
"Freshdesk",105000000
"PhonePe",104700000
"Book My Show",100000000
"Dream11",100000000
"Five Star Group",100000000
"Fractal Analytics",100000000
"Inmobi",100000000
"Saavn",100000000
"Shape",100000000
"Netmeds.com",99000000
"Uniphore",97880000
"Ather Energy",90000000
"Icertis",90000000
"YepMe",88700000
"BookMyShow",82000000
"Urban Ladder",80200000
"Dhruva",80000000
"Moglix",76200000
"Chillr",76000000
"BharatPe",75000000
"BillDesk",75000000
"Meru Cabs",75000000
"Ace2three",73700000
"Naaptol",73500000
"Aye Finance",71451265
"NoBroker",71400000
"HomeLane",67950000
"BankBazaar",67000000
"Mswipe",66000000
"Zenoti",65000000
"Capital Float",64800000
"Portea",63500000
"Infogain",63000000
"NeoGrowth Credit",63000000
"Cars24",60700000
"Greenlight Planet",60000000
"Manthan",60000000
"MedGenome",60000000
"Coverfox",58600000
"Dunzo",57950000
"Power2SME",57000000
"Faaso's",56300000
"Antuit",56000000
"Markets and Markets",56000000
"Cartrade",55000000
"Qubole",55000000
"Varthana",55000000
"Craftsvilla",54443495
"Biz2Credit",52000000
"Druva",51000000
"BrowserStack",50000000
"Dhruva Space",50000000
"Goomo",50000000
"HighRadius",50000000
"RateGain",50000000
"Rein Games",50000000
"Yupp TV",50000000
"Zovi.com/Little App",50000000
"Ofbusiness",48900000
"InCred Finance",47900000
"Smaaash",47800000
"BlueStone",46200000
"1mg",46000000
"Kuvera",45250000
"Capillary Tech",45000000
"Digit",45000000
"Zo Rooms",45000000
"NestAway",44050000
"Shuttl",44048394
"Licious",44000000
"Furlenco",42200000
"Ezetap",41000000
"Applied Solar Technologies",40000000
"Healthcare at Home",40000000
"NewsHunt",40000000
"Peppertap",40000000
"ShopX",40000000
"Treebo",40000000
"Vistaar Finance",40000000
"Zivame",40000000
"Zoomcar",40000000
"MindTickle",39500000
"Droom",39000000
"True Balance",38000000
"FabHotels",37889975.54
"Puro Wellness",37000000
"Zendrive",37000000
"Roposo",36700000
"Sahajanand Medical Technologies",36230000
"FirstCry",36000000
"Simplilearn",35750000
"Amagi Media Labs",35000000
"E-Commerce",35000000
"EPS",35000000
"Saama",35000000
"TicketNew",35000000
"Ninjacart",34500000
"Voonik",34000000
"FreshMenu",33500000
"Stayzilla",33500000
"Veritas Finance Ltd.",32499000
"AutoGrid",32000000
"Kissht",32000000
"MSE",32000000
"Dailyhunt",31390000
"CCAvenue",31300000
"Aavishkaar-Intellecap Group",31000000
"Caratlane.com",31000000
"Medwell Ventures",31000000
"pi Ventures",31000000
"Axtria",30000000
"CredR",30000000
"deGustibus",30000000
"GreyOrange",30000000
"LimeRoad.com",30000000
"Paper Boat",30000000
"TravelTriangle",30000000
"RenewBuy",29700000
"Engineer.ai",29500000
"Razorpay",29120000
"Toppr",28620820
"Square Yards",28000000
"Sulekha.com",28000000
"Healthians",27000000
"Nazara Technologies",27000000
"S Chand",27000000
"Housejoy",26500000
"ZestMoney",26400000
"Avail Finance",26200000
"Chakr Innovation",26000000
"CleverTap",26000000
"Jugnoo",26000000
"Recykal",26000000
"Bizongo",25000000
"Citrus Payment",25000000
"HealthifyMe",25000000
"Hungama",25000000
"IFMR Holdings",25000000
"Sigtuple",24800000
"KrazyBee",24342000
"Hopscotch",24000000
"ShareChat",23550000
"PharmEasy",23500000
"Samunnati",23500000
"TinyOwl",23500000
"Innoviti",23350000
"Koovs",23300000
"PaySense",23300000
"Revv",23270000
"Annapurna Finance",23000000
"Chargebee",23000000
"HelpShift",23000000
"Livspace",23000000
"Pi Data Centers",23000000
"Tata Housing",23000000
"MamaEarth",22358860
"Flytxt",22000000
"Vyome Therapeutics Inc.",22000000
"EarlySalary",21980000
"Asia Institute Of Medical Science",21000000
"Roadrunnr",21000000
"Tynor Othontics",21000000
"Allygrow Technologies",20000000
"Awfis",20000000
"Capillary",20000000
"GoJavas",20000000
"Groupon India",20000000
"Housing.com",20000000
"Just Buy Live",20000000
"Knowlarity",20000000
"MebelKart",20000000
"NDTV Wedding portal",20000000
"Newgen Software",20000000
"News in shorts",20000000
"Zopper",20000000
"AppsDaily",19750000
"iGenetics",19500000
"Spandana Sphoorty",19500000
"Pratilipi",19409500
"Loylty Rewards",19350000
"Shadowfax",19310000
"CueMath",19000000
"Zeta",19000000
"Appario Retail Pvt Ltd.",18840000
"NearBuy (previously groupon India)",18500000
"75F",18000000
"Culture Machine",18000000
"InnoNano Research",18000000
"Unacademy",17807000
"Magicpin",17600000
"Simility",17500000
"Black Soil",17000000
"Medlife",17000000
"RentoMojo",17000000
"Tonbo Imaging",17000000
"Vyomo",17000000
"Bidgely",16600000
"Transerve",16600000
"Itzcash",16500000
"Zefo",16250000
"Akosha",16000000
"Aryaka",16000000
"Ezyhaul",16000000
"La Renon",16000000
"LEAP India",16000000
"Rentalpha",16000000
"StoreKing",16000000
"Medikabazaar",15800000
"Bira91",15600000
"Innovaccer",15600000
"OkCredit",15500000
"Yatra.com",15400000
"ClearTax",15300000
"Infibeam",15030000
"Arkin Net",15000000
"Better Mortgage",15000000
"Deal4Loans/Wishfin",15000000
"Drip capital",15000000
"Fintellix",15000000
"Flexiloans",15000000
"HolidayIQ",15000000
"Indix",15000000
"INDwealth",15000000
"Ixigo",15000000
"Mahindra First Choice",15000000
"MoonFrog Labs",15000000
"TaskBucks",15000000
"Universal Sportsbiz Pvt. Ltd",15000000
"Vedantu",15000000
"Voylla",15000000
"Vserv",15000000
"Yuvi Hospitality",15000000
"TruckingCube",14900000
"Alpha Capital",14800000
"Indus OS",14750000
"Chumbak",14700000
"Agrostar",14000000
"Kartrocket",14000000
"Stellapps",14000000
"eShakti",13750000
"Glowroad",13500000
"IMAX Program",13500000
"NxtGen",13500000
"Tracxn",13500000
"ZenDrive",13500000
"LetsTransport",13300000
"LoanTap",13250000
"IndustryBuying",13000000
"Teabox",13000000
"Wooplr",13000000
"MoneyOnMobile",12600000
"Grabhouse",12500000
"Unbxd",12500000
"Xpressbees",12500000
"MoneyTap",12300000
"SirionLabs",12250000
"Easypolicy",12200000
"Metro Bikes",12200000
"Acko",12000000
"Box8",12000000
"HealthKart",12000000
"Robosoft",12000000
"Seclore",12000000
"Milkbasket",11800000
"Active.ai",11750000
"Fingerlix",11310000
"MyGlamm",11300000
"Springboard",11200000
"Big Fish Ventures",11100000
"Atomberg Technologies",11000000
"CupoNation",11000000
"FundsIndia.com",11000000
"Origo Commodities India Pvt. Ltd",11000000
"Raw Pressery",10800000
"POPxo.com",10600000
"Lybrate",10200000
"CreditMantri",10100000
"#Fame",10000000
"4tigo",10000000
"Arohan Financial Services",10000000
"Attune Technologies",10000000
"Babajobs",10000000
"Belong",10000000
"Chai Point",10000000
"CoinTribe",10000000
"Drivezy",10000000
"EduPristine",10000000
"GoFro",10000000
"Holisol Logistics",10000000
"IdeaForge",10000000
"IDG Ventures India",10000000
"Indifi",10000000
"LogiNext",10000000
"Mamagoto",10000000
"MySmartPrice",10000000
"NowFloats",10000000
"NumberMall",10000000
"PepperTap",10000000
"Sagacito",10000000
"Smartairtrip.com",10000000
"Specsmakers",10000000
"SportzVillage",10000000
"The Viral Fever",10000000
"Travelyaari",10000000
"Trucksfirst",10000000
"Xseed Education",10000000
"Zapr",10000000
"ZopNow",10000000
"WickedRide",9890000
"Ad2pro",9700000
"Wizrocket",9600000
"Mobikon",9300000
"HungerBox",9090000
"Clovia",9000000
"ElasticRun",9000000
"Pando",9000000
"QikPod",9000000
"Tonetag",9000000
"EazyDiner",8850000
"Holachef",8686200
"Truebil",8650000
"Fusion Microfinance",8600000
"Rao IIT Academy",8600000
"Jumbotail",8500000
"DocsApp",8400000
"MyDentistChoice",8350000
"Opinio",8300000
"Eruditus",8200000
"Grover Zampa",8200000
"Cloud Lending",8000000
"Farm Taaza",8000000
"Observe AI",8000000
"Postman",8000000
"Cube26",7700000
"WeAreHolidays",7700000
"TalentEdge",7600000
"Collectabillia",7500000
"Flutura",7500000
"HackerRank",7500000
"OneAssist",7500000
"Samco",7500000
"StyleTag",7500000
"Zarget",7500000
"Axio",7400000
"SnapBizz",7200000
"Cloudcherry Analytics",7000000
"CustomFurnish",7000000
"Fintobox",7000000
"Flyrobe",7000000
"Runnr",7000000
"Samosa Labs",7000000
"StalkBuyLove",7000000
"Cashe",6900000
"Rupeek",6830000
"KredX",6750000
"Villgro",6750000
"Mihup",6700000
"Oho Shop",6700000
"Wow Express",6700000
"Purplle.com",6537000
"Aasaanjobs",6500000
"Avanti Learning",6500000
"Canvera",6500000
"CultureAlley",6500000
"LatestOne",6350000
"Call Health",6200000
"Gadgetwood",6200000
"Perfios",6100000
"B9 Beverages",6000000
"Chefs Basket",6000000
"Connect India",6000000
"Digital F5",6000000
"Ecozen",6000000
"Finova Capital",6000000
"ISFC",6000000
"Jivox",6000000
"LegalRaasta",6000000
"ManageMySpa",6000000
"Mech Mocha",6000000
"OncoStem",6000000
"PrettySecrets",6000000
"Ridlr",6000000
"SaveBC",6000000
"Schedulers Logistics",6000000
"Synup",6000000
"The Porter",6000000
"Transversal Technologies",6000000
"Veeba Foods",6000000
"Welcome Cure",6000000
"Zinka",6000000
"iNurture",5900000
"Lookup",5880000
"Juspay",5800000
"Shubh Loans",5700000
"Taskbob",5700000
"Patel Logistics",5600000
"PrimaryIO",5600000
"Tripoto",5591375
"CureJoy",5550000
"Crownit",5500000
"Goodera",5500000
"TrulyMadly.com",5500000
"Justride",5400000
"Hansel.io",5350000
"MyUpchar",5300000
"GreytHR",5200000
"Insider.in",5200000
"Julia Computing",5200000
"MyGubbi",5200000
"Wassup",5200000
"3rdFlix",5000000
"Ace Turtle",5000000
"Alef Mobitech",5000000
"Ameyo",5000000
"Bona Vita",5000000
"Casa2inns",5000000
"CollegeDekho",5000000
"Commonfloor",5000000
"CoveIoT",5000000
"Credit Vidya",5000000
"DiabetOmics",5000000
"DocTalk",5000000
"Drivestream",5000000
"elong",5000000
"Gozoomo",5000000
"Hansa Customer Equity",5000000
"Healthsignz",5000000
"HomeStudio",5000000
"Hotelogix",5000000
"HUG Innovations",5000000
"Increff",5000000
"IndiaLends",5000000
"IndianRoots.com",5000000
"Infoworks",5000000
"Inshorts",5000000
