"year","quarter","yearwise_invest"
2015,1,650000
2015,1,500000
2015,1,11000000
2015,1,60000000
2015,1,2400000
2015,1,14750000
2015,1,75000000
2015,1,26000000
2015,1,315000
2015,1,6000000
2015,1,300000
2015,1,56000000
2015,1,110000000
2015,1,99600
2015,1,100000000
2015,1,26000000
2015,1,150000000
2015,1,180000
2015,1,330000
2015,1,80000
2015,1,1750000
2015,1,161000
2015,1,650000
2015,1,1000000
2015,1,2800000
2015,1,825000
2015,1,1300000
2015,1,135000
2015,1,30768
2015,1,31000000
2015,1,7500000
2015,1,240000
2015,1,125000
2015,1,80000000
2015,1,25000000
2015,1,50000000
2015,1,15000000
2015,1,115000
2015,1,580000
2015,1,7000000
2015,1,30000000
2015,1,150000
2015,1,48000000
2015,1,18000000
2015,1,2500000
2015,1,140000
2015,1,4150000
2015,1,4500000
2015,1,332000
2015,1,5500000
2015,1,40000000
2015,1,600000
2015,1,320000
2015,1,320000
2015,1,285000
2015,1,380000
2015,1,16500000
2015,1,1600000
2015,1,45000000
2015,1,2150000
2015,1,9000000
2015,1,518000
2015,1,60000000
2015,1,60000000
2015,1,12000000
2015,2,200000000
2015,2,300000
2015,2,21500000
2015,2,1500000
2015,2,234000
2015,2,12000000
2015,2,900000
2015,2,400000000
2015,2,14000000
2015,2,180000
2015,2,85000000
2015,2,20000000
2015,2,9000000
2015,2,2200000
2015,2,270000
2015,2,11000000
2015,2,625000
2015,2,137000000
2015,2,800000
2015,2,11000000
2015,2,36000000
2015,2,3000000
2015,2,3100000
2015,2,1200000
2015,2,1400000
2015,2,90000000
2015,2,32000000
2015,2,30000000
2015,2,10500000
2015,2,75000000
2015,2,1250000
2015,2,70000000
2015,2,1200000
2015,2,150000000
2015,2,100000000
2015,2,50000000
2015,2,50000000
2015,2,140000
2015,2,240000
2015,2,8000000
2015,2,470000
2015,2,200000
2015,2,300000
2015,2,28000000
2015,2,1800000
2015,2,15000000
2015,2,3250000
2015,2,5000000
2015,2,8600000
2015,2,800000
2015,2,16500000
2015,2,8200000
2015,2,650000
2015,2,330000
2015,2,3200000
2015,2,18000000
2015,2,80000000
2015,2,1100000
2015,2,240000
2015,2,6000000
2015,3,9200000
2015,3,800000
2015,3,75000000
2015,3,410000
2015,3,36000000
2015,3,680000000
2015,3,470000
2015,3,75000000
2015,3,320000
2015,3,4850000
2015,3,785000
2015,3,790000
2015,3,3900000
2015,3,14000000
2015,3,3300000
2015,3,90000000
2015,3,750000
2015,3,220000
2015,3,80000000
2015,3,2500000
2015,3,235000
2015,3,245000
2015,3,37500000
2015,3,450000
2015,3,500000000
2015,3,3600000
2015,3,33000000
2015,3,310000
2015,3,2400000
2015,3,13500000
2015,3,63000000
2015,3,16000000
2015,3,12000000
2015,3,22500000
2015,3,75000000
2015,3,450000
2015,3,315000
2015,3,45000000
2015,3,80000000
2015,3,1150000
2015,3,260000
2015,3,685000
2015,3,4500000
2015,3,180000000
2015,3,2300000
2015,3,161000
2015,3,15000000
2015,3,10200000
2015,3,700000000
2015,3,100000000
2015,3,336000
2015,3,700000
2015,3,8000000
2015,3,1750000
2015,3,205000
2015,3,6500000
2015,3,9600000
2015,3,395000
2015,3,4250000
2015,3,1540000
2015,3,3600000
2015,3,700000
2015,3,1260000
2015,3,7200000
2015,3,30000000
2015,3,1500000
2015,3,1800000
2015,3,1400000
2015,3,900000
2015,3,125000
2015,3,19350000
2015,3,500000000
2015,3,180000000
2015,3,2250000
2015,3,225000000
2015,3,12750000
2015,3,50000000
2015,3,32000000
2015,3,9000000
2015,3,156000
2015,3,6000000
2015,3,3200000
2015,3,4200000
2015,3,80000
2015,3,320000
2015,3,16200000
2015,3,20000
2015,3,650000
2015,4,120000000
2015,4,75000000
2015,4,18000000
2015,4,70000000
2015,4,310000
2015,4,45000000
2015,4,130000
2015,4,230000
2015,4,455000
2015,4,80000
2015,4,1800000
2015,4,1250000
2015,4,600000
2015,4,5600000
2015,4,900000
2015,4,3700000
2015,4,303000
2015,4,8000000
2015,4,6000000
2015,4,1500000
2015,4,231000
2015,4,7000000
2015,4,8000000
2015,4,640000
2015,4,3500000
2015,4,2950000
2015,4,34000000
2015,4,700000
2015,4,1100000
2015,4,6600000
2015,4,1700000
2015,4,27000000
2015,4,60000000
2015,4,530000
2015,4,13400000
2015,4,460000
2015,4,500000000
2015,4,18000000
2015,4,16600000
2015,4,2200000
2015,4,70000
2015,4,1450000
2015,4,190000
2015,4,13000000
2015,4,7500000
2015,4,450000
2015,4,60000000
2015,4,320000
2015,4,800000
2015,4,12500000
2015,4,9500000
2015,4,20000000
2015,4,4500000
2015,4,385000
2015,4,1530000
2015,4,540000
2015,4,4500000
2015,4,15000000
2015,4,1900000
2015,4,1500000
2015,4,52000000
2015,4,1200000
2015,4,3600000
2015,4,1050000
2015,4,110000
2015,4,490000
2015,4,7700000
2015,4,50000
2015,4,60000000
2015,4,1800000
2015,4,180000
2015,4,22500000
2015,4,18000000
2015,4,50000000
2015,4,22000000
2015,4,305000
2016,1,14900000
2016,1,20000000
2016,1,145000
2016,1,5800000
2016,1,81000
2016,1,45000
2016,1,30000000
2016,1,1100000
2016,1,1200000
2016,1,5400000
2016,1,520000
2016,1,4500000
2016,1,90000
2016,1,650000
2016,1,1200000
2016,1,28000000
2016,1,13000000
2016,1,16500000
2016,1,21000000
2016,1,108000
2016,1,1600000
2016,1,75000000
2016,1,1250000
2016,1,145000000
2016,1,1200000
2016,1,240000
2016,1,7200000
2016,1,73000
2016,1,100000000
2016,1,370000
2016,1,330000
2016,1,1500000
2016,1,11000000
2016,1,2200000
2016,1,16000000
2016,1,1000000
2016,1,90000
2016,1,3500000
2016,1,30000000
2016,1,180000000
2016,1,1800000
2016,1,230000
2016,1,13500000
2016,1,17000000
2016,1,1500000
2016,1,180000
2016,1,223608
2016,1,515000
2016,1,70000000
2016,1,1100000
2016,1,150000000
2016,1,20000000
2016,1,4700000
2016,1,35000000
2016,1,2300000
2016,1,185000
2016,1,2250000
2016,1,12500000
2016,1,12000000
2016,1,360000
2016,1,11100000
2016,1,50000
2016,1,8000000
2016,1,37000
2016,1,800000
2016,1,125000
2016,1,40000
2016,1,480000
2016,1,52000
2016,1,2000000
2016,1,5000000
2016,1,2800000
2016,1,4000000
2016,1,12000000
2016,1,200000000
2016,1,70000
2016,1,700000
2016,1,5150000
2016,1,445000
2016,1,970000
2016,2,180000
2016,2,750000
2016,2,30000000
2016,2,9000000
2016,2,550000
2016,2,2700000
2016,2,700000
2016,2,145000
2016,2,100000
2016,2,13500000
2016,2,175000
2016,2,16000000
2016,2,376000
2016,2,1800000
2016,2,60000000
2016,2,8000000
2016,2,8900000
2016,2,20000000
2016,2,220000
2016,2,475000
2016,2,1200000
2016,2,50000000
2016,2,18000000
2016,2,6000000
2016,2,60000000
2016,2,150000
2016,2,8800000
2016,2,368000
2016,2,2200000
2016,2,200000000
2016,2,375000
2016,2,400000
2016,2,24000000
2016,2,32000000
2016,2,23000000
2016,2,7000000
2016,2,2400000
2016,2,30000
2016,2,2750000
2016,2,5200000
2016,2,89000
2016,2,2700000
2016,2,295000
2016,2,3500000
2016,2,75000000
2016,2,40000
2016,2,148000
2016,2,4000000
2016,2,210000
2016,2,10000000
