"date","yearwise_invest"
"2015-01-02",2465000
"2015-01-05",10515000
"2015-01-06",11885000
"2015-01-07",5155768
"2015-01-09",13000000
"2015-01-12",290000
"2015-01-14",50000000
"2015-01-15",650000
"2015-01-16",161000
"2015-01-18",100000000
"2015-01-19",610000
"2015-01-20",11200000
"2015-01-21",15075000
"2015-01-22",87200000
"2015-01-24",1500000
"2015-01-25",1000000
"2015-01-27",50000000
"2015-01-28",2500000
"2015-01-29",5325000
"2015-01-30",1500000
"2015-01-31",140000
"2015-02-02",27674600
"2015-02-03",60518000
"2015-02-05",18100000
"2015-02-06",120000000
"2015-02-09",23000000
"2015-02-11",16000000
"2015-02-12",50000000
"2015-02-13",17500000
"2015-02-16",5150000
"2015-02-18",5000000
"2015-02-20",2100000
"2015-02-21",290000
"2015-02-23",18500000
"2015-02-24",500000
"2015-02-25",2730000
"2015-02-26",16000000
"2015-02-27",11200000
"2015-03-02",5620000
"2015-03-03",15000000
"2015-03-05",2500000
"2015-03-06",1200000
"2015-03-09",3000000
"2015-03-11",26150000
"2015-03-12",15000000
"2015-03-13",115000000
"2015-03-14",700000
"2015-03-16",51632000
"2015-03-18",5200000
"2015-03-19",4800000
"2015-03-20",18180000
"2015-03-23",120000
"2015-03-24",6160000
"2015-03-25",33500000
"2015-03-26",6750000
"2015-03-27",200000
"2015-03-28",31615000
"2015-03-30",85000000
"2015-03-31",35000000
"2015-04-03",2000000
"2015-04-04",1200000
"2015-04-06",120000
"2015-04-07",152365000
"2015-04-08",435000000
"2015-04-09",52365000
"2015-04-10",900000
"2015-04-11",25000000
"2015-04-13",13050000
"2015-04-14",5000000
"2015-04-15",85000000
"2015-04-16",2800000
"2015-04-17",12000000
"2015-04-20",88000000
"2015-04-22",5000000
"2015-04-23",36300000
"2015-04-24",12000000
"2015-04-27",1750000
"2015-04-28",31750000
"2015-04-29",13400000
"2015-05-01",100100000
"2015-05-04",1750000
"2015-05-05",21900000
"2015-05-06",100000000
"2015-05-07",18500000
"2015-05-08",3150000
"2015-05-12",6000000
"2015-05-14",5250000
"2015-05-15",270000
"2015-05-19",34770000
"2015-05-20",3000000
"2015-05-21",3250000
"2015-05-22",1125000
"2015-05-25",500000
"2015-05-26",3200000
"2015-05-27",6180000
"2015-05-28",5240000
"2015-05-30",12000000
"2015-06-01",12900000
"2015-06-02",35350000
"2015-06-03",18500000
"2015-06-04",208000000
"2015-06-05",15500000
"2015-06-08",40000000
"2015-06-09",21874000
"2015-06-10",5000000
"2015-06-11",600000
"2015-06-12",16000000
"2015-06-15",50500000
"2015-06-16",500000
"2015-06-17",8200000
"2015-06-18",8000000
"2015-06-19",15000000
"2015-06-20",10120000
"2015-06-21",3100000
"2015-06-22",5500000
"2015-06-23",8600000
"2015-06-24",21000000
"2015-06-25",14600000
"2015-06-26",2750000
"2015-06-29",11400000
"2015-06-30",4000000
"2015-07-01",15130000
"2015-07-02",65161000
"2015-07-03",7500000
